Date,Close,Volume,100_MA
2018-01-03,20.41,2231400,17.311600030000005
2018-01-04,20.23,2004000,17.351700040000004
2018-01-05,20.25,2380200,17.392300030000005
2018-01-08,20.32,1918800,17.439100030000006
2018-01-09,20.9,2517500,17.492100030000007
2018-01-10,20.26,2651200,17.538900030000008
2018-01-11,20.559998999999998,782100,17.58860002000001
2018-01-12,19.540001,3056000,17.62970003000001
2018-01-16,19.35,1444700,17.666900030000008
2018-01-17,19.74,788300,17.708200030000008
2018-01-18,19.6,1048300,17.74580003000001
2018-01-19,19.700001,1541500,17.786400040000004
2018-01-22,20.030001000000002,1028000,17.828400050000006
2018-01-23,19.940001000000002,774000,17.867500050000004
2018-01-24,19.049999,2686700,17.896300040000007
2018-01-25,19.139999,1262600,17.924000020000005
2018-01-26,19.200001,1680600,17.952900040000003
2018-01-29,18.959999,1345900,17.979300030000005
2018-01-30,18.889999,1432900,18.002000010000003
2018-01-31,18.76,1291000,18.019600010000005
2018-02-01,19.16,1731000,18.042400020000006
2018-02-02,18.790001,1295300,18.056900030000005
2018-02-05,18.440001000000002,1555300,18.065100030000007
2018-02-06,18.709999,2195300,18.074300010000005
2018-02-07,18.610001,913000,18.082800020000004
2018-02-08,17.73,1673100,18.088400020000005
2018-02-09,18.629998999999998,2896300,18.103400020000002
2018-02-12,18.620001000000002,2185700,18.11790003
2018-02-13,19.42,5732400,18.140300030000002
2018-02-14,19.950001,2602200,18.168700030000004
2018-02-15,19.809998999999998,1822100,18.195700010000003
2018-02-16,20.959999,3672000,18.2363
2018-02-20,21.309998999999998,2922600,18.278999980000002
2018-02-21,21.43,2940000,18.32369999
2018-02-22,21.030001000000002,1391800,18.365800000000004
2018-02-23,21.07,1603600,18.407700010000003
2018-02-26,21.120001000000002,2315200,18.446900010000004
2018-02-27,21.030001000000002,3139800,18.486900010000003
2018-02-28,25.309998999999998,15452900,18.574500010000005
2018-03-01,25.32,4792500,18.662700010000002
2018-03-02,25.709999,3698300,18.752600010000002
2018-03-05,25.4,2702600,18.841900020000004
2018-03-06,25.67,3889900,18.934600020000005
2018-03-07,26.09,3083100,19.032100020000005
2018-03-08,26.379998999999998,3457100,19.133900000000004
2018-03-09,27.93,9309400,19.248100000000008
2018-03-12,27.93,3475100,19.363799990000008
2018-03-13,27.92,2450100,19.480999980000007
2018-03-14,28.370001000000002,2744100,19.601099980000008
2018-03-15,28.379998999999998,1814600,19.72299996000001
2018-03-16,28.299999,3345500,19.84219996000001
2018-03-19,27.83,1837900,19.96289996000001
2018-03-20,28.309998999999998,2370000,20.08859995000001
2018-03-21,28.950001,2072500,20.21999996000001
2018-03-22,27.940001000000002,2487200,20.33669997000001
2018-03-23,26.639999,3584200,20.43559996000001
2018-03-26,27.360001,2796800,20.542099980000007
2018-03-27,27.66,2738300,20.651699970000003
2018-03-28,27.91,3053900,20.76349997
2018-03-29,28.059998999999998,3556000,20.879099960000005
2018-04-02,27.969998999999998,2475000,20.99289995
2018-04-03,27.83,2005200,21.099699949999998
2018-04-04,27.84,1949300,21.20949994
2018-04-05,28.540001,2094500,21.329799949999998
2018-04-06,27.629998999999998,2878300,21.440999939999994
2018-04-09,27.6,1204000,21.549799949999993
2018-04-10,29.9,5599100,21.682299949999994
2018-04-11,30.200001,3386000,21.818399959999994
2018-04-12,30.58,3302600,21.959499969999992
2018-04-13,28.969998999999998,4938300,22.08499995999999
2018-04-16,29.389999,3051900,22.21419995999999
2018-04-17,30.280001000000002,2534900,22.35049996999999
2018-04-18,30.4,2148800,22.485199969999993
2018-04-19,30.23,1815100,22.618799959999997
2018-04-20,30.01,1564200,22.747699949999998
2018-04-23,29.73,2013800,22.875199949999995
2018-04-24,28.969998999999998,2257700,22.995099939999996
2018-04-25,28.73,1256700,23.119199939999994
2018-04-26,29.530001000000002,1303100,23.249899959999993
2018-04-27,29.5,902000,23.376599959999993
2018-04-30,29.940001000000002,1518600,23.496899969999994
2018-05-01,30.32,1347900,23.61819996
2018-05-02,30.77,1952200,23.73849996
2018-05-03,30.85,1413100,23.857399969999996
2018-05-04,30.59,2023600,23.970099969999996
2018-05-07,31.42,2662600,24.08499997
2018-05-08,31.42,3731500,24.197099979999997
2018-05-09,29.99,5494000,24.29539998
2018-05-10,29.280001000000002,2654500,24.386799999999997
2018-05-11,30.01,2322400,24.4819
2018-05-14,29.42,1439100,24.5684
2018-05-15,29.09,2357200,24.656200010000003
2018-05-16,29.4,1165600,24.743000020000004
2018-05-17,29.469998999999998,1436300,24.82010001
2018-05-18,29.639999,1703300,24.899599990000002
2018-05-21,29.4,1372500,24.97609999
2018-05-22,28.99,928400,25.05779999
2018-05-23,29.379998999999998,1854600,25.14509998
2018-05-24,29.5,1312700,25.23559997
2018-05-25,30.440001000000002,2482600,25.33169998
2018-05-29,30.41,1634900,25.431699979999998
2018-05-30,31.709999,2219500,25.54649997
2018-05-31,32.34,3489100,25.66739997
2018-06-01,31.620001000000002,2460800,25.78039998
2018-06-04,31.67,1746300,25.888099979999996
2018-06-05,32.919998,2483600,26.014699959999994
2018-06-06,33.48,2330100,26.143899969999993
2018-06-07,33.43,2469400,26.28279995999999
2018-06-08,33.25,2529600,26.421799959999994
2018-06-11,32.049999,1658900,26.544899949999994
2018-06-12,33.220001,1269100,26.681099959999997
2018-06-13,32.990002000000004,1243500,26.813999969999994
2018-06-14,41.650002,26706500,27.030199979999992
2018-06-15,42.540001000000004,7830800,27.25619997999999
2018-06-18,43.82,6733900,27.503899989999994
2018-06-19,43.330002,3125100,27.745800019999997
2018-06-20,44.209998999999996,2483600,27.995899999999995
2018-06-21,43.599998,6904000,28.242299989999996
2018-06-22,43.18,2623800,28.485199999999995
2018-06-25,41.75,2501300,28.715099999999993
2018-06-26,41.98,1687900,28.943299999999994
2018-06-27,40.419998,2220700,29.159599969999995
2018-06-28,42.240002000000004,2777400,29.397599979999995
2018-06-29,42.189999,2440100,29.632399979999995
2018-07-02,42.779999,1394700,29.874099959999995
2018-07-03,42.580002,814700,30.122599979999997
2018-07-05,43.860001000000004,1470700,30.374899999999997
2018-07-06,44.709998999999996,1611000,30.63579998
2018-07-09,44.509997999999996,1621100,30.88669996
2018-07-10,43.790001000000004,1272600,31.125099959999996
2018-07-11,43.389998999999996,1315700,31.360899959999998
2018-07-12,43.240002000000004,1767000,31.583699989999996
2018-07-13,43.0,1167200,31.800599999999996
2018-07-16,42.91,1355700,32.01539999999999
2018-07-17,44.25,1215900,32.24759999
2018-07-18,44.439999,2934200,32.481299979999996
2018-07-19,43.23,1639600,32.702399969999995
2018-07-20,43.799999,976100,32.93009994999999
2018-07-23,43.23,2388700,33.109299959999994
2018-07-24,41.77,1995400,33.27379995999999
2018-07-25,42.98,1498000,33.44649996999999
2018-07-26,42.610001000000004,2061900,33.61859997999999
2018-07-27,41.970001,2698100,33.78159998999999
2018-07-30,40.23,2678400,33.92299998999999
2018-07-31,40.860001000000004,1640800,34.06780000999999
2018-08-01,41.200001,2098700,34.20050001999999
2018-08-02,42.400002,1414000,34.345200039999995
2018-08-03,41.540001000000004,1367700,34.48140004999999
2018-08-06,42.43,4263500,34.622000039999996
2018-08-07,43.84,16691600,34.77660005
2018-08-08,43.119999,5149600,34.92480005
2018-08-09,43.73,2179000,35.08380005
2018-08-10,46.060001,4015000,35.26130007
2018-08-13,45.189999,3112500,35.42370005
2018-08-14,46.139998999999996,2566500,35.60570003
2018-08-15,44.860001000000004,3175300,35.78790005
2018-08-16,45.630001,2399900,35.97060005
2018-08-17,46.529999,3028100,36.15930004
2018-08-20,46.900002,2381500,36.34920006
2018-08-21,47.57,2236300,36.54430007
2018-08-22,47.84,1581800,36.74300008
2018-08-23,48.810001,2495100,36.952800090000004
2018-08-24,49.040001000000004,1920500,37.1648001
2018-08-27,48.139998999999996,2465600,37.36080008
2018-08-28,47.880001,2041800,37.5633001
2018-08-29,47.759997999999996,1787700,37.76490008
2018-08-30,48.310001,1466600,37.94900009
2018-08-31,48.689999,1027200,38.133900069999996
2018-09-04,50.66,2686800,38.33470007
2018-09-05,47.389998999999996,3427700,38.518900069999994
2018-09-06,46.119999,2708400,38.68620007
2018-09-07,47.139998999999996,1953900,38.854800049999994
2018-09-10,47.189999,2203200,39.02270004
2018-09-11,49.400002,2390300,39.214400059999996
2018-09-12,49.169998,2202700,39.40600003999999
2018-09-13,50.549999,3031000,39.614200029999985
2018-09-14,52.849998,4280800,39.85300001999999
2018-09-17,50.099998,6666100,40.06669999999999
2018-09-18,51.630001,3416400,40.287699999999994
2018-09-19,50.16,2531000,40.49429999999999
2018-09-20,48.75,2895500,40.682399989999986
2018-09-21,47.540001000000004,3236000,40.854599999999984
2018-09-24,49.200001,1765200,41.03890000999998
2018-09-25,50.439999,2112000,41.23479999999998
2018-09-26,50.900002,2110100,41.43790001999998
2018-09-27,52.009997999999996,1347200,41.64379999999997
2018-09-28,51.380001,1523100,41.843400009999975
2018-10-01,49.959998999999996,1938800,42.043099999999974
2018-10-02,47.52,2192100,42.22549998999998
2018-10-03,48.139998999999996,1972700,42.40679997999998
2018-10-04,46.02,2500700,42.572799979999985
2018-10-05,44.400002,3494700,42.72589999999998
